Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients
Салат овощной с оливковым маслом со свежим базиликом,114.6 кКал,1.6 г,10.4 г,2.7 г,"Руккола: 100 г, Огурец грунтовый: 70 г, Помидор (томат), грунтовый: 80 г, Перец сладкий красный: 60 г, Авокадо: 110 г, Оливковое масло: 30 г"
Салат `Сытный` с консервированными овощами,70.5 кКал,2.5 г,3.2 г,6.6 г,"Кукуруза, консервы: 240 г, Грибы, консервированные, содержимое без жидкости: 200 г, Фасоль кидни, все виды, зрелая, консервированная: 220 г, Огурцы маринованные с укропом: 200 г, Лук репчатый (Мытьё, нарезка): 50 г, Майонез «Провансаль», 67% жирности: 40 г"
Компот из черноплодной рябины и яблок,14.2 кКал,0.3 г,0.1 г,2.9 г,"Вода водопроводная питьевая: 2000 г, Яблоко (Варка без слива): 300 г, Рябина черноплодная (Варка без слива): 300 г"
Шарлотка на ржаной муке,140 кКал,5.5 г,2.5 г,23.3 г,"Яблоко (Запекание): 624 г, Яичный желток куриный (Запекание): 1 Штука, Яичный белок куриный (Запекание): 4 Штука, Пшеничная мука, высшего сорта (Запекание): 100 г, Ржаная мука, обойная (Запекание): 250 г, Корица, молотая: 3 г, Подсолнечное масло: 5 г, Кефир 3,2% жирности (Запекание): 400 г"
Чиа пудинг,82.4 кКал,2.7 г,5.4 г,5.7 г,"Чиа chia: 15 г, Миндальное молоко: 140 г"
Капустный классический,68 кКал,1.5 г,4.4 г,5.3 г,"Капуста белокочанная (Мытьё, нарезка): 300 г, Лук репчатый (Мытьё, нарезка): 55 г, Морковь (Мытьё, нарезка): 111 г, Соль поваренная пищевая: 3 г, Подсолнечное масло: 21 г, Уксус столовый 9%: 3 г"
Бульон с лапшой и яйцом,87.2 кКал,8 г,3.8 г,5 г,"Бульон куриный: 245 г, Лапша яичная: 92 г, Яйцо куриное вареное вкрутую: 59 г, Петрушка свежая: 5 г, Перец черный,  молотый или горошек: 0.1 г"
"Салат с Лососем, сыром Тет де Муан и оливковым маслом со свежим базиликом",172.9 кКал,8.6 г,14.2 г,2.5 г,"Салат овощной с оливковым маслом со свежим базиликом: 200 г, Семга с/с мурманская,филе,стейки: 80 г, Кедровый орех, сушеный: 15 г, Сыр Тет де Муан,Швейцария: 25 г"
Веганский бг брауни,342.3 кКал,5 г,21.5 г,32.3 г,"Какао Золотой Ярлык [Красный Октябрь]: 20 г, Сода пищевая, разрыхлитель для выпечки: 2 г, Мука Универсальная без Глютена [Гарнец]: 60 г, Сахарозаменитель [Fit Parad]: 6 г, Шоколад горький: 80 г, Кокосовое Молоко 60% [Aroy-D]: 200 г, Ванилин [Dr. Oetker]: 2 г"
Пастила яблочная,251.1 кКал,2.8 г,1 г,56.7 г,"Яблоко (Запекание): 2000 г, Яичный белок куриный (Запекание): 190 г, Сахар песок: 400 г, Оливковое масло: 3 г"
"Салат быстрый колбаса, сыр, морковь, яйца",235.1 кКал,14.2 г,16.7 г,6.7 г,"Сыр голландский, брусковый, м.д.ж. 45% в сух. в-ве: 100 г, Колбаса варено-копченая московская: 100 г, Морковь: 100 г, Чеснок: 7 г, Яйцо куриное (Жарка): 4 С1, Крахмал картофельный: 1 Столовая ложка (&quo..."
"Кабачковые шайбы с миндальной мукой, сливочным сыром и неркой",187.8 кКал,10.2 г,14.2 г,5.1 г,"Кабачок (Запекание): 300 г, Яйцо куриное (Запекание): 1 Штука, Миндальная мука: 30 г, Сыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве: 80 г, Соль поваренная пищевая: 1 г, Чеснок, порошок: 2 г, Перец черный,  молотый или горошек: 0.5 г, Нерка (Запекание): 130 г"
Чесночные хрустящие хлебцы с баклажаном и помидором,57 кКал,2.6 г,0.5 г,10.2 г,"Хлебцы ржаные: 30 г, Баклажан жареный: 100 г, Помидор (томат), грунтовый (Мытьё, нарезка): 200 г, Чеснок: 15 г, Соевый соус: 10 г, Сок лимонный: 10 г"
Яичная лапша с овощами и морскими гребешками,148.5 кКал,7.1 г,5.1 г,17.3 г,"Яичная лапша Японская ""Алька"": 220 г, Овощи тушеные с устричным соусом: 70 г, Морские гребешки припущенные на двух маслах: 110 г, Базилик, свежий: 2 г, Петрушка свежая: 2 г"
Маринованные кабачки с кальмаром,69 кКал,4.7 г,2.7 г,5.2 г,"Кальмар (Варка): 130 г, Кабачок (Запекание): 500 г, Сок лимонный: 20 г, Вода: 50 г, Соус чили шрирача: 10 г, Устричный соус: 10 г, Соевый соус: 20 г, Подсолнечное масло: 10 г, Зелень кориандра (кинза), сырая: 10 г, Чеснок: 10 г, Кунжут: 3 г"
"Брускетта с Форелью, авокадо, помидором с итальянскими травами",193.5 кКал,8.7 г,8.6 г,19.2 г,"Батон нарезной из муки в/с (хлеб): 80 г, Авокадо: 50 г, Помидор (томат), грунтовый: 40 г, Оливковое масло: 6 г, Форель с/с атлантическая: 60 г, Петрушка свежая: 2 г"
Брауни,458.6 кКал,7.4 г,33.7 г,32 г,"Шоколад темный: 180 г, Масло сладкосливочное 73%: 88 г, Сахар, коричневый: 60 г, Пшеничная мука, высшего сорта (Запекание): 43 г, Яичный белок куриный (Запекание): 91 г, Яичный желток куриный (Запекание): 60 г, Сметана 36% жирности: 93 г, Сахарная пудра: 30 г, Фундук: 70 г"
